"Ток & магнита. & Iм. & A" & "Напряжение & на & образце & V. & мВ"\\ \hline 
0.15 & -0.073\\ \hline 
0.25 & -0.053\\ \hline 
0.35 & -0.031\\ \hline 
0.45 & -0.014\\ \hline 
0.55 & 0.004\\ \hline 
0.65 & 0.025\\ \hline 
0.75 & 0.041\\ \hline 
0.85 & 0.054\\ \hline 
0.95 & 0.069\\ \hline 
1.05 & 0.081\\ \hline 
1.15 & 0.093\\ \hline 
1.25 & 0.105\\ \hline 
1.35 & 0.113\\ \hline 
1.45 & 0.122\\ \hline 
1.55 & 0.128\\ \hline 
1.65 & 0.134\\ \hline 
1.75 & 0.138\\ \hline 
1.85 & 0.143\\ \hline 
1.95 & 0.147\\ \hline 
2.05 & 0.151\\ \hline 
